city,lat,lng,xxxx,lat,lng,ggg
Reidsville,36.3377,-79.6727,xxxx,36.3377,-79.6727,ggg
Oak Island,33.9434,-78.1366,xxxx,33.9434,-78.1366,ggg
Piney Green,34.7498,-77.3208,xxxx,34.7498,-77.3208,ggg
Brevard,35.2439,-82.7264,xxxx,35.2439,-82.7264,ggg
Marion,35.6774,-82.0013,xxxx,35.6774,-82.0013,ggg
Newton,35.663,-81.2333,xxxx,35.663,-81.2333,ggg
Davidson,35.4846,-80.8252,xxxx,35.4846,-80.8252,ggg
Tarboro,35.9046,-77.5563,xxxx,35.9046,-77.5563,ggg
Belmont,35.2211,-81.0402,xxxx,35.2211,-81.0402,ggg
Elon,36.1014,-79.5085,xxxx,36.1014,-79.5085,ggg
Spring Lake,35.1842,-78.9959,xxxx,35.1842,-78.9959,ggg
Archdale,35.9033,-79.9592,xxxx,35.9033,-79.9592,ggg
Summerfield,36.1973,-79.8997,xxxx,36.1973,-79.8997,ggg
Weddington,35.0228,-80.7383,xxxx,35.0228,-80.7383,ggg
